( tool, pen )
( color, black )
( drag,{ x: 539, y: 474.54168 } )
( drag,{ x: 543, y: 474.54168 } )
( drag,{ x: 546, y: 474.54168 } )
( drag,{ x: 550, y: 474.54168 } )
( drag,{ x: 552, y: 474.54168 } )
( drag,{ x: 556, y: 476.54168 } )
( drag,{ x: 563, y: 477.54168 } )
( drag,{ x: 566, y: 478.54168 } )
( drag,{ x: 570, y: 482.54168 } )
( drag,{ x: 572, y: 484.54168 } )
( drag,{ x: 576, y: 485.54168 } )
( drag,{ x: 578, y: 488.54168 } )
( drag,{ x: 580, y: 489.54168 } )
( drag,{ x: 583, y: 490.54168 } )
( drag,{ x: 584, y: 493.54168 } )
( drag,{ x: 586, y: 496.54168 } )
( drag,{ x: 588, y: 498.54168 } )
( drag,{ x: 590, y: 502.54168 } )
( drag,{ x: 590, y: 504.54168 } )
( drag,{ x: 592, y: 505.54168 } )
( drag,{ x: 592, y: 506.54168 } )
( drag,{ x: 594, y: 508.54168 } )
( drag,{ x: 594, y: 509.54168 } )
( drag,{ x: 595, y: 510.54168 } )
( drag,{ x: 595, y: 512.54168 } )
( up, { x: 595, y: 512.54168 } )
( tool, rectangle )
( color, blue )
( shape, centerX: 343.69872981077805, centerY: 329.5416653951009, radius: 50 )
( shape, centerX: 373.4508579613418, centerY: 107.97590678529397, radius: 50.86848278038618 )
( shape, centerX: 70.69872981077806, centerY: 101.54166539510089, radius: 50 )
( shape, centerX: 486.69872981077805, centerY: 316.5416653951009, radius: 50 )
( tool, smiley )
( sticker, { x: 378, y: 264.54167 } )
( sticker, { x: 282, y: 256.54167 } )
( sticker, { x: 130, y: 286.54167 } )
( sticker, { x: 91, y: 382.54167 } )
( sticker, { x: 148, y: 490.54167 } )
( sticker, { x: 264, y: 473.54167 } )
( sticker, { x: 264, y: 425.54167 } )
( sticker, { x: 234, y: 406.54167 } )
( sticker, { x: 215, y: 433.54167 } )
( sticker, { x: 223, y: 470.54167 } )
( sticker, { x: 254, y: 470.54167 } )
( sticker, { x: 246, y: 438.54167 } )
