( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 28, y: 178.54166 } )
( drag,{ x: 23, y: 284.54166 } )
( drag,{ x: 23, y: 297.54166 } )
( drag,{ x: 22, y: 285.54166 } )
( drag,{ x: 14, y: 181.54166 } )
( drag,{ x: 6, y: 84.54166 } )
( drag,{ x: 2, y: 64.54166 } )
( drag,{ x: 2, y: 65.54166 } )
( drag,{ x: 2, y: 106.54166 } )
( drag,{ x: 4, y: 212.54166 } )
( drag,{ x: 7, y: 240.54166 } )
( drag,{ x: 8, y: 189.54166 } )
( drag,{ x: 63, y: -29.45834 } )
( drag,{ x: 78, y: -78.45834 } )
( drag,{ x: 80, y: -77.45834 } )
( drag,{ x: 60, y: 24.54166 } )
( drag,{ x: 22, y: 124.54166 } )
( drag,{ x: 15, y: 144.54166 } )
( drag,{ x: 15, y: 116.54166 } )
( drag,{ x: 47, y: 29.54166 } )
( drag,{ x: 68, y: -22.45834 } )
( drag,{ x: 68, y: -23.45834 } )
( drag,{ x: 54, y: -5.45834 } )
( drag,{ x: 47, y: 1.54166 } )
( drag,{ x: 44, y: 6.54166 } )
( drag,{ x: 43, y: 8.54166 } )
( drag,{ x: 20, y: 65.54166 } )
( drag,{ x: 7, y: 96.54166 } )
( drag,{ x: 4, y: 96.54166 } )
( drag,{ x: 8, y: 53.54166 } )
( drag,{ x: 24, y: 17.54166 } )
( drag,{ x: 34, y: -6.45834 } )
( drag,{ x: 36, y: -9.45834 } )
( drag,{ x: 36, y: -2.45834 } )
( drag,{ x: 20, y: 32.54166 } )
( drag,{ x: -10, y: 81.54166 } )
( drag,{ x: -22, y: 92.54166 } )
( drag,{ x: -29, y: 78.54166 } )
( drag,{ x: -14, y: 33.54166 } )
( drag,{ x: 6, y: 10.54166 } )
( drag,{ x: 10, y: 9.54166 } )
( drag,{ x: 10, y: 14.54166 } )
( drag,{ x: 4, y: 37.54166 } )
( drag,{ x: -4, y: 64.54166 } )
( drag,{ x: -8, y: 82.54166 } )
( drag,{ x: -8, y: 73.54166 } )
